Sample in Buffer,Sample in Window,TRIGGER,rx_test_i/system_ila_2/inst/net_slot_0_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_0_axis_tready,rx_test_i/system_ila_2/inst/net_slot_0_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_1_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_1_axis_tready,rx_test_i/system_ila_2/inst/net_slot_1_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_2_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_2_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_2_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_3_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_3_axis_tready,rx_test_i/system_ila_2/inst/net_slot_3_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_4_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_4_axis_tready,rx_test_i/system_ila_2/inst/net_slot_4_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(tlast_gen_0_m_axis)[2:0],Interface_(i1:s3)_(cfo_correction_0_m_axis)[2:0],Interface_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(tlast_gen_0_m_axis)[2:0],T_Channel_(i1:s3)_(cfo_correction_0_m_axis)[2:0],T_Channel_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
34,34,0,00000000000000000000000000000000,0000,0,1,0,025f2320014b231701f1231800ba230d,ffff,1,1,0,025f0220014b23160137232c00a8232d,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
35,35,0,00000000000000000000000000000000,0000,0,1,0,033b23220341230702cd230e029d2315,ffff,1,1,0,01822320014b232301f12318001a2309,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
36,36,0,00000000000000000000000000000000,0000,0,1,0,045723ee026423f103a922f703f223bd,ffff,1,1,0,045723ee034423f102cd231a03fd236d,1,0,00000000000000000037210000000028,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
37,37,0,00000000000000000000000000000000,0000,0,1,0,05fb23cb03ae23d6048422df005e23b4,ffff,1,1,0,0a1123e20261330503a922f7005223bd,1,0,00a20202000e20270005022800002200,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
38,38,0,00000000000000000000000000000000,0000,0,1,0,049722a907e622b6055f22bf052a22dd,ffff,1,1,0,049723e903a622b6048422df053e23b5,1,0,00000000000000000000000000000100,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
39,39,0,00000000000000000000000000000000,0000,0,1,0,06a6228706bf22900639229a060722e2,ffff,1,1,0,05fb228b07ee23d6055f22bf000a22db,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
40,40,0,00000000000000000000000000000000,0000,0,1,0,077e225d0790227507122276077922cb,ffff,1,1,0,077e229d06b022740639228e076722e3,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
41,41,0,00000000280000000000000000000000,0000,0,1,0,0456228c0660223407ea225206b72243,ffff,1,1,0,06a62247079f22910712227606b922cb,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
42,42,0,00000000000000000000000000000000,0000,0,1,0,012e20f103fe22ff08c0220d048c225b,ffff,1,1,0,012e02b1066e22fe0dea225204972243,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
43,43,0,00000000000000000000000000000000,0000,0,1,0,0a0020a0082a22d4099621c10df021ed,ffff,1,1,0,045620cc03f0323702c0220d060c225d,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
